moment|url
1557750813540.3308|https://www.google.com/search?ei=CWTZXNmBA4mJk74P28mBsAI&q=%D0%BC%D0%B0%D1%81%D1%81%D0%B8%D0%B2+%D1%81%D0%BB%D1%83%D1%87%D0%B0%D0%B9%D0%BD%D1%8B%D1%85+%D1%87%D0%B8%D1%81%D0%B5%D0%BB+%D1%81+%D0%B8%D0%B7%D0%B2%D0%B5%D1%81%D1%82%D0%BD%D0%BE%D0%B9+%D1%81%D1%83%D0%BC%D0%BC%D0%BE%D0%B9&oq=%D0%BC%D0%B0%D1%81%D1%81%D0%B8%D0%B2+%D1%81%D0%BB%D1%83%D1%87%D0%B0%D0%B9%D0%BD%D1%8B%D1%85+%D1%87%D0%B8%D1%81%D0%B5%D0%BB+%D1%81+%D0%B8%D0%B7%D0%B2%D0%B5%D1%81%D1%82%D0%BD%D0%BE%D0%B9+%D1%81%D1%83%D0%BC%D0%BC%D0%BE%D0%B9&gs_l=psy-ab.3...13087.18639..19575...0.0..0.258.3320.11j6j7......0....1..gws-wiz.......0i71j0j0i67j0i22i30j33i160j33i22i29i30.TTKly2y5tv8
1557750793134.1091|https://www.google.com/search?q=%D0%BC%D0%B0%D1%81%D1%81%D0%B8%D0%B2+%D1%81%D0%BB%D1%83%D1%87%D0%B0%D0%B9%D0%BD%D1%8B%D1%85+%D0%B2%D0%B5%D1%80%D0%BE%D1%8F%D1%82%D0%BD%D0%BE%D1%81%D1%82%D0%B5%D0%B9&oq=%D0%BC%D0%B0%D1%81%D1%81%D0%B8%D0%B2+%D1%81%D0%BB%D1%83%D1%87%D0%B0%D0%B9%D0%BD%D1%8B%D1%85+%D0%B2%D0%B5%D1%80%D0%BE%D1%8F%D1%82%D0%BD%D0%BE%D1%81%D1%82%D0%B5%D0%B9&aqs=chrome..69i57.10670j0j4&sourceid=chrome&ie=UTF-8
1557750778011.194|https://www.google.com/search?q=hidden+markov+model+initialization&oq=hidden+markov+model+init&aqs=chrome.1.69i57j0l2.6880j1j4&sourceid=chrome&ie=UTF-8
1557750736072.4238|https://www.quora.com/How-do-I-have-a-good-initialization-of-prior-probability-emission-probability-in-Hidden-Markov-Models-since-HMMs-are-local-optimal
1557750652379.416|https://stats.stackexchange.com/questions/47846/how-to-define-initial-probabilities-for-hmm
1557750304079.3408|http://parallel.vub.ac.be/~tingting/papers/ChinaSIP2014_LiuetAl_PROPER%20INITIALIZATION%20OF%20HIDDEN%20MARKOV%20MODELS%20FOR%20INDUSTRIAL%20APPLICATIONS.pdf
1557750300487.685|https://ieeexplore.ieee.org/document/6889291
1557750298781.936|https://ieeexplore.ieee.org/document/6889291/metrics#metrics
1557750295851.9211|https://ieeexplore.ieee.org/document/6889291/metrics
1557750295792.701|https://ieeexplore.ieee.org/document/6889291/metrics#
1557748624148.14|https://en.wikipedia.org/wiki/Baum%E2%80%93Welch_algorithm
1557748595444.512|https://en.wikipedia.org/wiki/Hidden_Markov_model
1557748589119.905|https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D1%80%D1%8B%D1%82%D0%B0%D1%8F_%D0%BC%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BC%D0%BE%D0%B4%D0%B5%D0%BB%D1%8C
1557748587408.526|https://www.google.com/search?biw=1440&bih=789&ei=OVrZXNPhC9qGk74PpL2aeA&q=hidden+markov+model+&oq=hidden+markov+model+&gs_l=psy-ab.3..0j0i67l2j0l7.305246.305246..305541...0.0..0.61.61.1......0....1..gws-wiz.......0i71.ziq6MD5-vJE
1557748281290.848|https://www.google.com/search?q=hidden+markov+model+with+big+observation&ei=JFrZXNWbIOeDk74PhYWJ-AQ&start=40&sa=N&ved=0ahUKEwjVvd-9uJjiAhXnwcQBHYVCAk84HhDy0wMIowE&biw=1440&bih=789
1557748260613.343|https://www.google.com/search?q=hidden+markov+model+with+big+observation&ei=DVrZXJXvN4yWmwW1nonQCQ&start=30&sa=N&ved=0ahUKEwjVqfuyuJjiAhUMy6YKHTVPApo4FBDy0wMIlQE&biw=1440&bih=789
1557748237996.981|https://www.google.com/search?q=hidden+markov+model+with+big+observation&ei=91nZXPOlDfCHk74PjtiDyAw&start=20&sa=N&ved=0ahUKEwiz_ZGouJjiAhXww8QBHQ7sAMk4ChDy0wMIkgE&biw=1440&bih=789
1557748215310.119|https://www.google.com/search?q=hidden+markov+model+with+big+observation&ei=uVnZXI_bGIKkmwXQ4K6wBQ&start=10&sa=N&ved=0ahUKEwjPm9WKuJjiAhUC0qYKHVCwC1YQ8tMDCM8B&biw=1440&bih=789
1557748207489.899|https://www.google.com/search?ei=r1nZXKfgGKCCk74Pv5aZkA0&q=hidden+markov+model+with+big+observation&oq=hidden+markov+model+with+big+observation&gs_l=psy-ab.3...3881.8969..9217...2.0..0.73.1159.21......0....1..gws-wiz.......0i71j33i10.fY-8WohXkNg
1557748200199.111|https://www.researchgate.net/post/What_is_known_about_learning_of_continuous_state-space_hidden_Markov_models_with_continuous_observation_processes
1557748143500.4321|https://www.google.com/search?q=hmm+with+big+observation&oq=hmm+with+big+observation&aqs=chrome..69i57.8156j0j4&sourceid=chrome&ie=UTF-8
1557748038250.5479|https://www.cs.tau.ac.il/~rshamir/algmb/presentations/HMM_18.pdf
1557748032341.279|https://www.google.com/search?q=logarithm+of+probability+markov+chain&oq=logarithm+of+probability+markov+chain&aqs=chrome..69i57.11692j0j4&sourceid=chrome&ie=UTF-8
1557747989286.176|http://cs229.stanford.edu/section/cs229-hmm.pdf
1557747976399.7942|https://stats.stackexchange.com/questions/47685/calculating-log-likelihood-for-given-mle-markov-chains
